Borough,Neighborhood,Latitude,Longitude
North York,Parkwoods,43.75293455500008,-79.33564142299997
North York,Victoria Village,43.72810248500008,-79.31188987099995
Downtown Toronto,"Regent Park, Harbourfront",43.65096410900003,-79.35304116399999
North York,"Lawrence Manor, Lawrence Heights",43.723265465000054,-79.45121077799996
Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.66179000000005,-79.38938999999993
Etobicoke,"Islington Avenue, Humber Valley Village",43.66748067300006,-79.52895286499995
Scarborough,"Malvern, Rouge",43.80862623100006,-79.18991284599997
North York,Don Mills,43.74890000000005,-79.35721999999998
East York,"Parkview Hill, Woodbine Gardens",43.70719267700008,-79.31152927299996
Downtown Toronto,"Garden District, Ryerson",43.65749059800004,-79.37752923699998
North York,Glencairn,43.70727872700007,-79.44750009299997
Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.65002250300006,-79.55408903099999
Scarborough,"Rouge Hill, Port Union, Highland Creek",43.78577865700004,-79.15736763799998
North York,Don Mills,43.72214339800007,-79.35202341799999
East York,Woodbine Heights,43.68974004200004,-79.30850701899999
Downtown Toronto,St. James Town,43.65173364700007,-79.37555358799995
York,Humewood-Cedarvale,43.69172991700003,-79.43001279899994
Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.637813150000056,-79.57648363299995
Scarborough,"Guildwood, Morningside, West Hill",43.76580607300008,-79.18528434099994
East Toronto,The Beaches,43.67814827600006,-79.29534930999995
Downtown Toronto,Berczy Park,43.645195888000046,-79.37385548899994
York,Caledonia-Fairbanks,43.68911756600005,-79.45065043699998
Scarborough,Woburn,43.77154467100007,-79.21813521299998
East York,Leaside,43.70941386000004,-79.36309957799995
Downtown Toronto,Central Bay Street,43.65607218800005,-79.38565318999997
Downtown Toronto,Christie,43.668602116000045,-79.42038731299994
Scarborough,Cedarbrae,43.76879106300004,-79.23881306799996
North York,Hillcrest Village,43.802556149000054,-79.35656576499997
North York,"Bathurst Manor, Wilson Heights, Downsview North",43.75739449200006,-79.44239439999996
East York,Thorncliffe Park,43.70207200300007,-79.35161423599999
Downtown Toronto,"Richmond, Adelaide, King",43.65054164500003,-79.38411611599997
West Toronto,"Dufferin, Dovercourt Village",43.66491031700008,-79.43866366999998
Scarborough,Scarborough Village,43.74420268600005,-79.22872456899995
North York,"Fairview, Henry Farm, Oriole",43.78030600000005,-79.34868699999998
North York,"Northwood Park, York University",43.76487186000003,-79.49249695199995
East York,"East Toronto, Broadview North (Old East York)",43.687045770000054,-79.33388995799999
Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.62375000000003,-79.36919999999998
West Toronto,"Little Portugal, Trinity",43.64863621500007,-79.41775187699994
Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.72688089800005,-79.26569363099998
North York,Bayview Village,43.780606885000054,-79.37692081799997
North York,Downsview,43.73910091500005,-79.46763070999998
East Toronto,"The Danforth West, Riverdale",43.683423910000045,-79.35456407799995
Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.64692288500004,-79.38162557699997
West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.639921634000075,-79.43123988199994
Scarborough,"Golden Mile, Clairlea, Oakridge",43.71334044300005,-79.28494163099998
North York,"York Mills, Silver Hills",43.74936000000008,-79.38068999999996
North York,Downsview,43.72999160200004,-79.51202680199998
East Toronto,"India Bazaar, The Beaches West",43.668290659000036,-79.31557771299998
Downtown Toronto,"Commerce Court, Victoria Hotel",43.648283294000066,-79.37875017599998
North York,"North Park, Maple Leaf Park, Upwood Park",43.71352959500007,-79.48872437199998
North York,Humber Summit,43.75938139500005,-79.55717381699998
Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.72353760300007,-79.22835287899994
North York,"Willowdale, Newtonbrook",43.79180026600005,-79.40642782199996
North York,Downsview,43.733220000000074,-79.49769999999995
East Toronto,Studio District,43.648000000000025,-79.33925999999997
North York,"Bedford Park, Lawrence Manor East",43.735446609000064,-79.41794403499995
York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.695074962000035,-79.48717932199997
North York,"Humberlea, Emery",43.733682102000046,-79.54438077099996
Scarborough,"Birch Cliff, Cliffside West",43.696447877000026,-79.26564232899995
North York,"Willowdale, Willowdale East",43.769076780000034,-79.41369502399994
North York,Downsview,43.75581917400007,-79.51997275199994
Central Toronto,Lawrence Park,43.72945456600007,-79.38641531799993
Central Toronto,Roselawn,43.710634140000025,-79.41874774499996
York,"Runnymede, The Junction North",43.67685581100005,-79.47869052799996
York,Weston,43.70549635400005,-79.52037009099996
Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.76131000000004,-79.26993999999996
North York,York Mills West,43.750260000000026,-79.39835499999998
Central Toronto,Davisville North,43.71317113200007,-79.38887016199999
Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.69446000000005,-79.41027999999994
West Toronto,"High Park, The Junction South",43.65872000000007,-79.46314999999998
Etobicoke,Westmount,43.69629612800003,-79.53312611699994
Scarborough,"Wexford, Maryvale",43.75004250000006,-79.30053749999996
North York,"Willowdale, Willowdale West",43.77991227600006,-79.44522868999996
Central Toronto,"North Toronto West,  Lawrence Park",43.714138802000036,-79.40645595899997
Central Toronto,"The Annex, North Midtown, Yorkville",43.67491074000003,-79.40393998899998
West Toronto,"Parkdale, Roncesvalles",43.647839601000044,-79.44838789999994
Mississauga,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999996
Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.68688713700004,-79.56550730099997
Scarborough,Agincourt,43.79392980200004,-79.26569360999997
Central Toronto,Davisville,43.70332655200008,-79.38564862099997
Downtown Toronto,"University of Toronto, Harbord",43.66328128200007,-79.39808791199994
West Toronto,"Runnymede, Swansea",43.64972539000007,-79.48269151199997
Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.78490240700006,-79.30472546399994
Central Toronto,"Moore Park, Summerhill East",43.690328124000075,-79.38352175499995
Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.65349712200003,-79.39740961799998
Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81799836300007,-79.28088739199995
Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.686377906000075,-79.40237221299998
Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.64053911600007,-79.39743510499994
Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.61007458300003,-79.49975147199996
Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.74405485200003,-79.58120294599996
Scarborough,"Steeles West, L'Amoreaux West",43.80053000000004,-79.32182999999998
Downtown Toronto,Rosedale,43.681892762000075,-79.37670588599997
Downtown Toronto,Stn A PO Boxes,43.648700000000076,-79.38544999999993
Etobicoke,"Alderwood, Long Branch",43.60089538500006,-79.54038692299997
Etobicoke,"Northwest, West Humber - Clairville",43.71161519300006,-79.58835079199997
Scarborough,Upper Rouge,43.83476822500006,-79.20410074399996
Downtown Toronto,"St. James Town, Cabbagetown",43.667656097000076,-79.36732626299994
Downtown Toronto,"First Canadian Place, Underground city",43.64826890100005,-79.38188376699998
Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.65333956200004,-79.50976584199998
Downtown Toronto,Church and Wellesley,43.66665858500005,-79.38147173199997
East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.648700000000076,-79.38544999999993
Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.632798483000045,-79.49301657299998
Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.62549000000007,-79.52599999999995
